epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,11243.6,0.98511,0.4446,0.8978,0.89332,0.87084,0.94066,0.61174,1.17919,0.52593,0.99335,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,11408.1,0.98234,0.44358,0.89841,0.89305,0.87061,0.94053,0.61145,1.17953,0.52624,0.99349,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,11581.2,0.97611,0.44048,0.8966,0.89346,0.87051,0.94043,0.6106,1.18013,0.52684,0.99381,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11750.8,0.9773,0.44028,0.89575,0.89409,0.86996,0.94017,0.61048,1.18055,0.52686,0.99411,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,12072.2,0.97443,0.44003,0.89429,0.89403,0.8699,0.94011,0.61013,1.18131,0.52724,0.99436,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,12234.6,0.97157,0.43864,0.8931,0.89398,0.86967,0.93991,0.61003,1.18178,0.52773,0.99459,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,12645.3,0.96852,0.43698,0.89313,0.89437,0.86934,0.93962,0.60976,1.18225,0.52793,0.9948,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,12808.1,0.96689,0.43603,0.89223,0.89324,0.87011,0.93952,0.60978,1.18253,0.52817,0.99505,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,12972,0.96317,0.43333,0.8924,0.89307,0.87005,0.93929,0.60931,1.18313,0.52823,0.99542,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,13136.5,0.96197,0.43315,0.89156,0.8931,0.86931,0.93918,0.609,1.18359,0.52841,0.99572,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,13299.9,0.95723,0.43177,0.89063,0.89308,0.86896,0.93899,0.60895,1.18405,0.52839,0.99592,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,13463.3,0.95336,0.42997,0.88936,0.89375,0.86823,0.93891,0.60828,1.18468,0.5287,0.99622,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
